,base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,timezone,visibility,weather,wind
50,stations,{'all': 20},200,"{'lon': -25.09, 'lat': 17.2}",1575500669.0,3374346.0,"{'temp': 73.4, 'pressure': 1018, 'humidity': 69, 'temp_min': 73.4, 'temp_max': 73.4}",,Ponta do Sol,,,"{'type': 1, 'id': 2467, 'country': 'CV', 'sunrise': 1575446153, 'sunset': 1575486322}",-3600.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 18.34, 'deg': 60}"
51,model,{'all': 57},200,"{'lon': 171.6, 'lat': -41.75}",1575500669.0,2206900.0,"{'temp': 55.4, 'pressure': 1005, 'humidity': 76, 'temp_min': 55.4, 'temp_max': 55.4, 'sea_level': 1005, 'grnd_level': 959}",,Westport,{'3h': 0.56},,"{'country': 'NZ', 'sunrise': 1575478387, 'sunset': 1575532499}",46800.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 9.26, 'deg': 320}"
52,model,{'all': 4},200,"{'lon': -59.78, 'lat': 8.2}",1575500669.0,3377301.0,"{'temp': 72.48, 'pressure': 1012, 'humidity': 98, 'temp_min': 72.48, 'temp_max': 72.48, 'sea_level': 1012, 'grnd_level': 1007}",,Mabaruma,,,"{'country': 'GY', 'sunrise': 1575453558, 'sunset': 1575495573}",-14400.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 2.64, 'deg': 81}"
53,model,{'all': 83},200,"{'lon': -10.27, 'lat': 52.14}",1575500669.0,2964782.0,"{'temp': 50.25, 'pressure': 1021, 'humidity': 74, 'temp_min': 50.25, 'temp_max': 50.25, 'sea_level': 1021, 'grnd_level': 1020}",,Dingle,,,"{'country': 'IE', 'sunrise': 1575448272, 'sunset': 1575477088}",0.0,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 16.75, 'deg': 249}"
54,stations,{'all': 54},200,"{'lon': 23.97, 'lat': 50.06}",1575500669.0,687093.0,"{'temp': 21.2, 'pressure': 1028, 'humidity': 92, 'temp_min': 21.2, 'temp_max': 21.2}",,Zhovkva,,,"{'type': 1, 'id': 8909, 'country': 'UA', 'sunrise': 1575525949, 'sunset': 1575555819}",7200.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 4.47, 'deg': 210}"
55,model,{'all': 87},200,"{'lon': -99.65, 'lat': 37.17}",1575500669.0,4267710.0,"{'temp': 53.64, 'pressure': 1012, 'humidity': 54, 'temp_min': 53.64, 'temp_max': 53.64, 'sea_level': 1012, 'grnd_level': 947}",,Sitka,,,"{'country': 'US', 'sunrise': 1575466587, 'sunset': 1575501686}",-21600.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 11.52, 'deg': 122}"
56,stations,{'all': 75},200,"{'lon': -175.2, 'lat': -21.2}",1575500668.0,4032243.0,"{'temp': 82.4, 'pressure': 1014, 'humidity': 65, 'temp_min': 82.4, 'temp_max': 82.4}",,Vaini,,,"{'type': 1, 'id': 7285, 'country': 'TO', 'sunrise': 1575564657, 'sunset': 1575612740}",46800.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 8.05, 'deg': 90}"
57,stations,{'all': 75},200,"{'lon': 15.64, 'lat': 78.22}",1575500669.0,2729907.0,"{'temp': 28.4, 'pressure': 989, 'humidity': 68, 'temp_min': 28.4, 'temp_max': 28.4}",,Longyearbyen,,,"{'type': 1, 'id': 1663, 'country': 'SJ', 'sunrise': 0, 'sunset': 0}",3600.0,7000.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]","{'speed': 25.28, 'deg': 90, 'gust': 38.03}"
58,stations,{'all': 90},200,"{'lon': -120.46, 'lat': 34.64}",1575500670.0,5367788.0,"{'temp': 60.21, 'pressure': 1012, 'humidity': 77, 'temp_min': 57.99, 'temp_max': 62.6}",,Lompoc,{'1h': 0.25},,"{'type': 1, 'id': 4747, 'country': 'US', 'sunrise': 1575471199, 'sunset': 1575507066}",-28800.0,12874.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 5.82, 'deg': 200}"
59,stations,{'all': 40},200,"{'lon': -68.31, 'lat': -54.81}",1575500669.0,3833367.0,"{'temp': 51.26, 'pressure': 999, 'humidity': 66, 'temp_min': 48.2, 'temp_max': 53.6}",,Ushuaia,,,"{'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1575446052, 'sunset': 1575507175}",-10800.0,10000.0,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]","{'speed': 32.21, 'deg': 230, 'gust': 44.96}"
60,stations,{'all': 75},200,"{'lon': -64.68, 'lat': 32.38}",1575500670.0,3573061.0,"{'temp': 71.78, 'pressure': 1006, 'humidity': 73, 'temp_min': 71.6, 'temp_max': 72}",,Saint George,,,"{'type': 1, 'id': 8816, 'country': 'BM', 'sunrise': 1575457482, 'sunset': 1575494002}",-14400.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 35.57, 'deg': 200}"
